"DATE","PRCP","TMAX","TMIN","RAIN"
"2012-01-01","NA",55,41,"NA"
"2012-01-02",0.43,51,37,"TRUE"
"2012-01-03","NA",53,45,"NA"
"2012-01-04",0.8,54,42,"TRUE"
"2012-01-05",0.05,48,37,"TRUE"
"2012-01-06",0.1,40,36,"TRUE"
"2012-01-07",0,45,37,"FALSE"
"2012-01-08",0,50,37,"FALSE"
"2012-01-09","NA",49,41,"NA"
